Robert
Gesink
TDF2018
Stage12
15
long	lat	elev
6.212572	45.225838	1974.8
6.212833	45.226275	1980.8
6.213078	45.22673	1986.8
6.213539	45.227247	1992.6
6.214397	45.227571	2000.2
6.214998	45.227959	2006.6
6.215296	45.228543	2012.8
6.215749	45.229061	2018.8
6.216034	45.229649	2024.6
6.216088	45.230236	2030
6.216515	45.230821	2036.2
6.216195	45.230862	2042.2
6.215462	45.230383	2048.6
6.215125	45.229712	2055.6
6.21452	45.229166	2063.2
6.213762	45.228789	2071
6.213076	45.228636	2078
6.212486	45.228905	2085.4
6.211705	45.228934	2092.2
6.211005	45.228852	2098
6.210294	45.228956	2104.4
6.209587	45.228972	2109.2
6.208819	45.229013	2115.2
6.209141	45.229568	2121
6.209487	45.230121	2126.6
6.210114	45.230532	2133
6.210253	45.230717	2139.2
6.209168	45.230592	2146
6.208335	45.230203	2152.2
6.207685	45.229841	2159.6
6.207063	45.229499	2166.2
6.206365	45.229209	2171.8
6.205614	45.228862	2176.8
6.204818	45.228421	2183.8
6.204477	45.227673	2190.8
6.203342	45.227479	2198.8
6.20245	45.228504	2199.8
6.201605	45.229992	2189.8
6.199349	45.231345	2174.2
6.196934	45.232903	2157.6
6.194128	45.233859	2138.4
6.192834	45.235475	2123.6
6.19052	45.236994	2106
6.187497	45.237881	2089
6.185171	45.239207	2072.4
